timestamp,action,target
"2026-05-22T15:52:54.774717","bandwidth_threshold_exceeded","chrome.exe (1729.8 KB/s)"
"2026-05-22T15:52:54.751171","bandwidth_threshold_exceeded","msedgewebview2.exe (2018.2 KB/s)"
"2026-05-22T15:08:35.744341","remove_bandwidth_cap","chrome.exe"
"2026-05-22T15:08:35.727732","adaptive_unblock_process","chrome.exe"
"2026-05-22T15:03:27.219826","cap_exceeded","chrome.exe (2123.4 KB/s, cap: 2 KB/s)"
"2026-05-22T15:03:27.204336","adaptive_block_process","chrome.exe"
"2026-05-22T15:02:52.810930","cap_exceeded","chrome.exe (2089.9 KB/s, cap: 2 KB/s)"
"2026-05-22T15:02:52.793892","adaptive_block_process","chrome.exe"
"2026-05-22T15:02:06.755248","set_bandwidth_cap","chrome.exe -> 2 KB/s (block)"
"2026-05-22T14:29:40.975356","remove_bandwidth_cap","chrome.exe"
"2026-05-22T14:29:40.962261","adaptive_unblock_process","chrome.exe"
"2026-05-22T14:29:30.581280","cap_exceeded","chrome.exe (3.9 KB/s, cap: 2 KB/s)"
"2026-05-22T14:29:30.567497","adaptive_block_process","chrome.exe"
"2026-05-22T14:29:25.114626","set_bandwidth_cap","chrome.exe -> 2 KB/s (block)"
"2026-05-22T14:25:06.064274","unblock_app_adaptive","chrome.exe"
"2026-05-22T14:25:06.055090","adaptive_unblock_process","chrome.exe"
"2026-05-22T14:24:34.688648","remove_bandwidth_cap","chrome.exe"
"2026-05-22T14:24:12.423190","bandwidth_threshold_exceeded","python.exe (1141.1 KB/s)"
"2026-05-22T14:24:12.406987","bandwidth_threshold_exceeded","msedgewebview2.exe (1141.1 KB/s)"
"2026-05-22T14:24:12.384491","bandwidth_threshold_exceeded","claude.exe (1141.1 KB/s)"
"2026-05-22T14:23:59.399053","cap_exceeded","chrome.exe (28.3 KB/s, cap: 2 KB/s)"
"2026-05-22T14:23:59.376330","adaptive_block_process","chrome.exe"
"2026-05-22T14:23:44.276918","set_bandwidth_cap","chrome.exe -> 2 KB/s (block)"
"2026-05-22T14:23:23.427279","cap_exceeded","chrome.exe (21.7 KB/s, cap: 2 KB/s)"
"2026-05-22T14:23:08.438916","set_bandwidth_cap","chrome.exe -> 2 KB/s (alert)"
"2026-05-22T13:59:12.362206","bandwidth_threshold_exceeded","explorer.exe (1037.7 KB/s)"
"2026-05-22T13:59:12.349651","bandwidth_threshold_exceeded","svchost.exe (2407.0 KB/s)"
"2026-05-06T19:35:54.337267","bandwidth_threshold_exceeded","python.exe (1070.7 KB/s)"
"2026-05-06T19:35:54.313696","bandwidth_threshold_exceeded","mscopilot.exe (1081.6 KB/s)"
"2026-05-06T19:35:49.094406","bandwidth_threshold_exceeded","chrome.exe (1760.8 KB/s)"
"2026-05-06T19:35:16.376934","bandwidth_threshold_exceeded","ms-teams.exe (1835.9 KB/s)"
"2026-05-06T19:35:16.357735","bandwidth_threshold_exceeded","svchost.exe (1835.9 KB/s)"
"2026-05-06T19:35:16.329071","bandwidth_threshold_exceeded","msedgewebview2.exe (1835.9 KB/s)"
"2026-05-06T19:35:16.311684","bandwidth_threshold_exceeded","claude.exe (1835.9 KB/s)"
